,datetime,code,open,volume,amt,open_interest,index_time,index,window,window-future,index-future
12091,2020/2/27 11:01,IF2006.CFE,4067.8,34,41515260,27747.59259,2020/2/27 11:01,4084.63,4087.5,-17.968,16.83
12092,2020/2/27 11:02,IF2006.CFE,4069.8,27,32940120,27746.12745,2020/2/27 11:02,4083.25,4083.94,-14.134,13.45
12093,2020/2/27 11:03,IF2006.CFE,4065.6,23,28064040,27746.96262,2020/2/27 11:03,4081.13,4082.19,-16.62,15.53
12094,2020/2/27 11:04,IF2006.CFE,4065.8,29,35414460,27745.26316,2020/2/27 11:04,4080.29,4080.71,-16.796,14.49
12095,2020/2/27 11:05,IF2006.CFE,4074,13,15889080,27740.41584,2020/2/27 11:05,4081.8,4081.045,-9.39,7.8
12096,2020/2/27 11:06,IF2006.CFE,4072.4,9,10993080,27738.68182,2020/2/27 11:06,4086.51,4084.155,-12.104,14.11
12097,2020/2/27 11:07,IF2006.CFE,4071.6,39,47642740,27743.18391,2020/2/27 11:07,4087.22,4086.865,-14.22,15.62
12098,2020/2/27 11:08,IF2006.CFE,4070.2,2,2443680,27744.07895,2020/2/27 11:08,4086.7,4086.96,-16.966,16.5
12099,2020/2/27 11:09,IF2006.CFE,4073.8,17,20782080,27743.86154,2020/2/27 11:09,4086.87,4086.785,-14.122,13.07
12100,2020/2/27 11:10,IF2006.CFE,4076,20,24456000,27741.34921,2020/2/27 11:10,4088.53,4087.7,-12.708,12.53
12101,2020/2/27 11:11,IF2006.CFE,4077.6,13,15894840,27740.47674,2020/2/27 11:11,4090.29,4089.41,-11.894,12.69
12102,2020/2/27 11:12,IF2006.CFE,4071,7,8555520,27740.94318,2020/2/27 11:12,4091.15,4090.72,-18.57,20.15
12103,2020/2/27 11:13,IF2006.CFE,4073.4,22,26864520,27741.38372,2020/2/27 11:13,4090.63,4090.89,-15.926,17.23
12104,2020/2/27 11:14,IF2006.CFE,4071.2,17,20761560,27740.51389,2020/2/27 11:14,4087.25,4088.94,-17.738,16.05
12105,2020/2/27 11:15,IF2006.CFE,4071.4,16,19543860,27735.36782,2020/2/27 11:15,4087.31,4087.28,-17.216,15.91
12106,2020/2/27 11:16,IF2006.CFE,4070.8,5,6111240,27733.76623,2020/2/27 11:16,4088.35,4087.83,-18.324,17.55
12107,2020/2/27 11:17,IF2006.CFE,4076,80,97924320,27726.34314,2020/2/27 11:17,4089.54,4088.945,-14.866,13.54
12108,2020/2/27 11:18,IF2006.CFE,4082,70,85766160,27715.50515,2020/2/27 11:18,4093.17,4091.355,-11.022,11.17
12109,2020/2/27 11:19,IF2006.CFE,4084,27,33075120,27705.6383,2020/2/27 11:19,4095.96,4094.565,-11.454,11.96
12110,2020/2/27 11:20,IF2006.CFE,4084.4,41,50255040,27703.01538,2020/2/27 11:20,4098.09,4097.025,-13.566,13.69
12111,2020/2/27 11:21,IF2006.CFE,4085.6,42,51475380,27694.33333,2020/2/27 11:21,4100.51,4099.3,-13.514,14.91
12112,2020/2/27 11:22,IF2006.CFE,4082.6,47,57536640,27686.20202,2020/2/27 11:22,4102.1,4101.305,-16.986,19.5
12113,2020/2/27 11:23,IF2006.CFE,4081.8,19,23270340,27679.90217,2020/2/27 11:23,4098.91,4100.505,-18.018,17.11
12114,2020/2/27 11:24,IF2006.CFE,4083.4,17,20820540,27687.20313,2020/2/27 11:24,4098.32,4098.615,-16.594,14.92
12115,2020/2/27 11:25,IF2006.CFE,4081.2,20,24506640,27691.43548,2020/2/27 11:25,4099.25,4098.785,-19.036,18.05
12116,2020/2/27 11:26,IF2006.CFE,4085.4,41,50226160,27686.43243,2020/2/27 11:26,4101.39,4100.32,-15.958,15.99
12117,2020/2/27 11:27,IF2006.CFE,4084,34,41670720,27687.27083,2020/2/27 11:27,4103.31,4102.35,-18.67,19.31
12118,2020/2/27 11:28,IF2006.CFE,4086,64,78490860,27691.2766,2020/2/27 11:28,4104.52,4103.915,-18.006,18.52
12119,2020/2/27 11:29,IF2006.CFE,4089,27,33124380,27688.80808,2020/2/27 11:29,4104.88,4104.7,-16.066,15.88
12120,2020/2/27 13:00,IF2006.CFE,4089.8,119,145829980,27691.80531,2020/2/27 13:00,4105.93,4105.405,-16.01,16.13
12121,2020/2/27 13:01,IF2006.CFE,4082.4,24,29404020,27696.55435,2020/2/27 13:01,4106.69,4106.31,-23.298,24.29
12122,2020/2/27 13:02,IF2006.CFE,4084.2,65,79577700,27703.8381,2020/2/27 13:02,4107.03,4106.86,-20.714,22.83
12123,2020/2/27 13:03,IF2006.CFE,4079.4,177,216475740,27715.91453,2020/2/27 13:03,4103.96,4105.495,-24.23,24.56
12124,2020/2/27 13:04,IF2006.CFE,4075,63,77048680,27748.96364,2020/2/27 13:04,4100.96,4102.46,-27.104,25.96
12125,2020/2/27 13:05,IF2006.CFE,4075.8,50,61127820,27760.84259,2020/2/27 13:05,4099.51,4100.235,-24.702,23.71
12126,2020/2/27 13:06,IF2006.CFE,4073.6,56,68490300,27786.82178,2020/2/27 13:06,4099.06,4099.285,-26.69,25.46
12127,2020/2/27 13:07,IF2006.CFE,4078.2,34,41608740,27802.47561,2020/2/27 13:07,4099.02,4099.04,-22.916,20.82
12128,2020/2/27 13:08,IF2006.CFE,4081,32,39189840,27810.82353,2020/2/27 13:08,4102.9,4100.96,-21.418,21.9
12129,2020/2/27 13:09,IF2006.CFE,4082.8,29,35526420,27827.35955,2020/2/27 13:09,4105.09,4103.995,-21.658,22.29
12130,2020/2/27 13:10,IF2006.CFE,4084,64,78486060,27839.41509,2020/2/27 13:10,4106.02,4105.555,-22.184,22.02
12131,2020/2/27 13:11,IF2006.CFE,4089.6,75,91906740,27867.25234,2020/2/27 13:11,4109.26,4107.64,-17.274,19.66
12132,2020/2/27 13:12,IF2006.CFE,4084.8,16,19605120,27880.48913,2020/2/27 13:12,4107.65,4108.455,-22.484,22.85
12133,2020/2/27 13:13,IF2006.CFE,4084.6,41,50235960,27888.19565,2020/2/27 13:13,4106.35,4107,-22.834,21.75
12134,2020/2/27 13:14,IF2006.CFE,4085,58,71017020,27886.57292,2020/2/27 13:14,4107.14,4106.745,-21.792,22.14
12135,2020/2/27 13:15,IF2006.CFE,4080.2,67,82041540,27873.6875,2020/2/27 13:15,4106.77,4106.955,-26.112,26.57
12136,2020/2/27 13:16,IF2006.CFE,4079.2,31,37946160,27877.51136,2020/2/27 13:16,4106.05,4106.41,-26.202,26.85
12137,2020/2/27 13:17,IF2006.CFE,4081.6,25,30584220,27886.58824,2020/2/27 13:17,4105.25,4105.65,-22.432,23.65
12138,2020/2/27 13:18,IF2006.CFE,4077.8,32,39145260,27895.13402,2020/2/27 13:18,4101.8,4103.525,-24.958,24
12139,2020/2/27 13:19,IF2006.CFE,4078.2,13,15900960,27905.67857,2020/2/27 13:19,4100.29,4101.045,-23.212,22.09
12140,2020/2/27 13:20,IF2006.CFE,4077,51,62363640,27912.78652,2020/2/27 13:20,4100.4,4100.345,-23.268,23.4
12141,2020/2/27 13:21,IF2006.CFE,4077.2,32,39172920,27913.40385,2020/2/27 13:21,4099.32,4099.86,-23.292,22.12
12142,2020/2/27 13:22,IF2006.CFE,4081.8,11,13469040,27914.08219,2020/2/27 13:22,4099.53,4099.425,-18.762,17.73
12143,2020/2/27 13:23,IF2006.CFE,4081.2,30,36692400,27922.97753,2020/2/27 13:23,4102.92,4101.225,-18.912,21.72
12144,2020/2/27 13:24,IF2006.CFE,4076.4,26,31786200,27927.2125,2020/2/27 13:24,4100.64,4101.78,-23.038,24.24
12145,2020/2/27 13:25,IF2006.CFE,4073.8,55,67217980,27935,2020/2/27 13:25,4098.15,4099.395,-24.484,24.35
12146,2020/2/27 13:26,IF2006.CFE,4073,33,40322100,27942.23158,2020/2/27 13:26,4095.95,4097.05,-23.55,22.95
