,datetime,code,open,volume,amt,open_interest,index,index_smooth
3961,2020/1/2 13:01,IF2006.CFE,4186,21,26369940,14175.05556,4156.33,4153.926778
3962,2020/1/2 13:02,IF2006.CFE,4187,16,20093220,14182.64407,4156.77,4154.068159
3963,2020/1/2 13:03,IF2006.CFE,4185,7,8791980,14187.87654,4156.32,4154.187782
3964,2020/1/2 13:04,IF2006.CFE,4187.2,12,15080220,14193.05195,4156.97,4154.33682
3965,2020/1/2 13:05,IF2006.CFE,4188,6,7538040,14200.10638,4157.99,4154.49887
3966,2020/1/2 13:06,IF2006.CFE,4188,9,11306760,14203.48387,4157.58,4154.625272
3967,2020/1/2 13:07,IF2006.CFE,4187.2,6,7538100,14204.49254,4157.42,4154.736151
3968,2020/1/2 13:08,IF2006.CFE,4189,7,8791740,14208.69697,4157.4,4154.852636
3969,2020/1/2 13:09,IF2006.CFE,4186,10,12550680,14211.38636,4157.29,4154.959163
3970,2020/1/2 13:10,IF2006.CFE,4182.8,27,33863940,14220.70833,4155.84,4155.06431
3971,2020/1/2 13:11,IF2006.CFE,4177,15,18799800,14229.39726,4153.63,4155.154477
3972,2020/1/2 13:12,IF2006.CFE,4177.8,14,17540460,14231.95652,4151.67,4155.267197
3973,2020/1/2 13:13,IF2006.CFE,4175.8,8,10023180,14238.77778,4149.99,4155.394477
3974,2020/1/2 13:14,IF2006.CFE,4175.8,22,27550440,14244.9863,4150.01,4155.547782
3975,2020/1/2 13:15,IF2006.CFE,4175.2,13,16286400,14251.94186,4148.2,4155.70636
3976,2020/1/2 13:16,IF2006.CFE,4178,12,15044640,14259.53333,4148.2,4155.851381
3977,2020/1/2 13:17,IF2006.CFE,4180,21,26323980,14268.12676,4148.91,4155.987573
3978,2020/1/2 13:18,IF2006.CFE,4178,12,15035160,14276.7551,4149.91,4156.120335
3979,2020/1/2 13:19,IF2006.CFE,4175.8,31,38830860,14275.7439,4149.73,4156.243054
3980,2020/1/2 13:20,IF2006.CFE,4177,5,6265980,14272.23404,4150.3,4156.357197
3981,2020/1/2 13:21,IF2006.CFE,4178,3,3759600,14272.21053,4150.42,4156.465565
3982,2020/1/2 13:22,IF2006.CFE,4176,1,1253100,14273.2963,4151.11,4156.552887
3983,2020/1/2 13:23,IF2006.CFE,4177,7,8776860,14275.05556,4150.76,4156.633305
3984,2020/1/2 13:24,IF2006.CFE,4179.8,7,8782920,14278.70833,4151.56,4156.692678
3985,2020/1/2 13:25,IF2006.CFE,4184.2,4,5018340,14282.44262,4151.9,4156.745649
3986,2020/1/2 13:26,IF2006.CFE,4182.2,11,13801680,14288.45283,4152.6,4156.799205
3987,2020/1/2 13:27,IF2006.CFE,4181.4,11,13790640,14294.89474,4153.43,4156.845983
3988,2020/1/2 13:28,IF2006.CFE,4178.2,12,15038520,14296.11111,4151.91,4156.891088
3989,2020/1/2 13:29,IF2006.CFE,4177,10,12521340,14293.78082,4151.32,4156.918033
3990,2020/1/2 13:30,IF2006.CFE,4173.4,3,3757440,14290,4149.95,4156.932343
3991,2020/1/2 13:31,IF2006.CFE,4174.6,26,32549940,14289.13235,4149.79,4156.950251
3992,2020/1/2 13:32,IF2006.CFE,4172.4,1,1251720,14288,4149.07,4156.976402
3993,2020/1/2 13:33,IF2006.CFE,4172.4,7,8766180,14290.67797,4149.13,4156.996276
3994,2020/1/2 13:34,IF2006.CFE,4174.8,3,3756660,14290.52,4148.97,4157.011841
3995,2020/1/2 13:35,IF2006.CFE,4173.8,6,7512480,14292.40625,4148.2,4157.016611
3996,2020/1/2 13:36,IF2006.CFE,4173.8,18,22544760,14294.52542,4148.42,4157.027197
3997,2020/1/2 13:37,IF2006.CFE,4176,17,21304260,14293.54545,4148.72,4157.042636
3998,2020/1/2 13:38,IF2006.CFE,4178,16,20052180,14292.11475,4149.92,4157.067113
3999,2020/1/2 13:39,IF2006.CFE,4178,1,1253400,14291.15686,4151.16,4157.100879
4000,2020/1/2 13:40,IF2006.CFE,4178,3,3760920,14291.36842,4151.98,4157.122008
4001,2020/1/2 13:41,IF2006.CFE,4178.8,6,7525140,14291.95385,4152.46,4157.153096
4002,2020/1/2 13:42,IF2006.CFE,4179.8,3,3762480,14294.94872,4152.49,4157.18364
4003,2020/1/2 13:43,IF2006.CFE,4181,4,5017560,14295,4152.71,4157.205439
4004,2020/1/2 13:44,IF2006.CFE,4182.4,2,2509380,14295.73529,4153.35,4157.226569
4005,2020/1/2 13:45,IF2006.CFE,4182,4,5017200,14295.88,4154.37,4157.249874
