,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account,,,,,,,
139,1339,19:00.0,4590.4,4642.6,-52.2,-62.87350902,-62.43263947,10.67350902,3,-1,0,0,0.2,-72.6676,,,,,,,
140,1340,20:00.0,4592.4,4643.6,-51.2,-62.85020804,-62.42814321,11.65020804,3,-1,0,0,-0.8,-73.6676,,,,,,,
141,1341,21:00.0,4589.4,4640.8,-51.4,-62.82690707,-62.42497918,11.42690707,3,-1,0,0,-0.6,-73.4676,,,,,,,
142,1342,22:00.0,4588.2,4640.8,-52.6,-62.80915395,-62.42181515,10.20915395,3,-1,0,0,0.6,-72.2676,,,,,,,
143,1343,23:00.0,4587.6,4638.2,-50.6,-62.78446602,-62.41615321,12.18446602,3,-1,0,0,-1.4,-74.2676,,,,,,,
144,1344,24:00.0,4585,4634.4,-49.4,-62.7628294,-62.40865945,13.3628294,3,-1,0,0,-2.6,-75.4676,,,,,,,
145,1345,25:00.0,4584,4635.8,-51.8,-62.74202497,-62.40432973,10.94202497,3,-1,0,0,-0.2,-73.0676,,,,,,,
146,1346,26:00.0,4585,4634.2,-49.2,-62.71816921,-62.39750208,13.51816921,3,-1,0,0,-2.8,-75.6676,,,,,,,
147,1347,27:00.0,4586.4,4637.2,-50.8,-62.6962552,-62.39050791,11.8962552,3,-1,0,0,-1.2,-74.0676,,,,,,,
148,1348,28:00.0,4590.4,4640,-49.6,-62.67212205,-62.38218152,13.07212205,3,-1,0,0,-2.4,-75.2676,,,,,,,
149,1349,29:00.0,4585,4635.2,-50.2,-62.65076283,-62.37502082,12.45076283,3,-1,0,0,-1.8,-74.6676,,,,,,,
150,1350,30:00.0,4582.4,4633.6,-51.2,-62.63051318,-62.37002498,11.43051318,3,-1,0,0,-0.8,-73.6676,,,,,,,
151,1351,31:00.0,4581.6,4631.2,-49.6,-62.60638003,-62.3653622,13.00638003,3,-1,0,0,-2.4,-75.2676,,,,,,,
152,1352,32:00.0,4580.6,4630.8,-50.2,-62.58335645,-62.35986678,12.38335645,3,-1,0,0,-1.8,-74.6676,,,,,,,
153,1353,33:00.0,4580.6,4630.8,-50.2,-62.55811373,-62.35553705,12.35811373,3,-1,0,0,-1.8,-74.6676,,,,,,,
154,1354,34:00.0,4578,4629,-51,-62.53619972,-62.35054122,11.53619972,3,-1,0,0,-1,-73.8676,,,,,,,
155,1355,35:00.0,4579.6,4629.4,-49.8,-62.510957,-62.3438801,12.710957,3,-1,0,0,-2.2,-75.0676,,,,,,,
156,1356,36:00.0,4579.6,4630.4,-50.8,-62.49070735,-62.33921732,11.69070735,3,-1,0,0,-1.2,-74.0676,,,,,,,
157,1357,37:00.0,4575.8,4625.2,-49.4,-62.46629681,-62.33272273,13.06629681,3,-1,0,0,-2.6,-75.4676,,,,,,,
158,1358,38:00.0,4581,4632.6,-51.6,-62.44466019,-62.32855953,10.84466019,3,-1,0,0,-0.4,-73.2676,,,,,,,
159,1359,39:00.0,4580,4630.6,-50.6,-62.4221914,-62.32189842,11.8221914,3,-1,0,0,-1.4,-74.2676,,,,,,,
160,1360,40:00.0,4582.4,4632,-49.6,-62.39833564,-62.31590341,12.79833564,3,-1,0,0,-2.4,-75.2676,,,,,,,
161,1361,41:00.0,4580.2,4631.8,-51.6,-62.37919556,-62.31207327,10.77919556,3,-1,0,0,-0.4,-73.2676,,,,,,,
162,1362,42:00.0,4583.4,4635.4,-52,-62.3592233,-62.30824313,10.3592233,3,-1,0,0,0,-72.8676,,,,,,,
163,1363,43:00.0,4585.2,4635.2,-50,-62.33592233,-62.30191507,12.33592233,3,-1,0,0,-2,-74.8676,,,,,,,
164,1364,44:00.0,4583,4634.2,-51.2,-62.31456311,-62.29658618,11.11456311,3,-1,0,0,-0.8,-73.6676,,,,,,,
165,1365,45:00.0,4581.2,4632.2,-51,-62.29209431,-62.28959201,11.29209431,3,-1,0,0,-1,-73.8676,,,,,,,
